Título,ESTRUCTURA DE LA GENERACIÓN POR TECNOLOGÍAS_01-01-2019_31-12-2020,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020
"Hidráulica,""2127,215051"",""2483,405474"",""2132,667288"",""1926,065412"",""1935,367585"",""1626,902976"",""1582,244918"",""1255,0121399999998"",""1225,2644750000002"",""1122,327883"",""2663,333138"",""4639,208858"",""3729,343833"",""2838,605407"",""3114,061333"",""2862,374612"",""2860,26007"",""2266,4227579999997"",""1838,035028"",""1889,516844"",""1671,696369"",""1905,809841"",""2463,313607"",""3192,2838939999997"""
"Turbinación bombeo,""160,23615900000001"",""184,627656"",""182,22747099999998"",""129,466814"",""124,931376"",""54,72582"",""24,305242"",""70,640006"",""104,264726"",""116,03075"",""172,10638200000002"",""321,942702"",""233,778898"",""229,837141"",""303,523791"",""314,35097499999995"",""243,639892"",""152,41034299999998"",""167,16095"",""158,85513"",""187,667328"",""233,257852"",""206,002588"",""320,955577"""
"Nuclear,""5041,388826"",""4766,785658"",""5274,747281999999"",""4621,662922"",""3976,917465"",""4647,876956"",""5123,111728"",""5068,144387"",""4995,506281000001"",""4530,668762"",""3427,526295"",""4349,890213000001"",""5289,146024000001"",""4885,683024"",""5174,945115"",""4085,604789"",""3078,957761"",""3621,381286"",""5159,005855"",""5151,917422"",""4871,2094019999995"",""4530,276466"",""4639,700502999999"",""5270,53221"""
"Carbón,""3292,737912"",""2411,17859"",""966,325098"",""849,942221"",""465,000029"",""515,009225"",""834,325099"",""598,405305"",""683,0745840000001"",""866,1578619999999"",""676,648063"",""511,83340999999996"",""865,8870039999999"",""821,301781"",""474,78253600000005"",""305,13967099999996"",""242,76348000000002"",""361,459592"",""301,768792"",""337,165744"",""351,029938"",""304,480328"",""354,868701"",""300,065011"""
"Fuel + Gas,-,-,-,""0,000001"",""-0,000001"",-,-,""-0,000001"",""0,000001"",""-0,000001"",-,-,-,-,""0,000001"",-,""-0,000001"",-,-,-,-,-,-,-"
"Motores diésel,""244,732124"",""210,42038"",""209,79828"",""216,93779"",""221,392699"",""251,37793100000002"",""261,696105"",""281,653442"",""257,737056"",""245,159304"",""210,765949"",""224,382084"",""236,41896100000002"",""211,70033600000002"",""180,956068"",""166,20395000000002"",""178,043915"",""172,199772"",""211,04276800000002"",""242,788221"",""212,204263"",""189,338091"",""196,414769"",""202,181045"""
"Turbina de gas,""44,471036"",""41,54432"",""53,628455"",""50,182495"",""50,869689"",""53,24269"",""88,98833599999999"",""87,894628"",""70,446732"",""44,678867"",""47,465714"",""37,119115"",""38,932289"",""39,258754"",""31,141695"",""15,716700999999999"",""18,944309"",""24,670181"",""48,753217"",""54,511055"",""36,880593999999995"",""41,581658000000004"",""28,563691"",""27,628667"""
"Turbina de vapor,""218,650612"",""212,981811"",""209,06031"",""199,95457399999998"",""201,71434599999998"",""209,91055799999998"",""137,955038"",""116,694829"",""157,509026"",""170,575942"",""184,81552299999998"",""169,188099"",""146,918518"",""128,349147"",""114,048723"",""98,923324"",""116,06845299999999"",""83,296143"",""114,33213"",""127,712586"",""98,396694"",""128,2145"",""121,615077"",""109,732229"""
"Ciclo combinado,""3497,66044"",""2730,581106"",""2437,362725"",""3037,267222"",""4223,793661000001"",""5478,846625"",""7379,659616000001"",""7388,506265999999"",""5741,488022"",""5979,694438"",""4192,460766"",""3154,6493309999996"",""3856,118343"",""2893,614171"",""1910,683244"",""2167,51346"",""2440,445298"",""4006,5282089999996"",""6317,818803"",""5529,268472"",""4978,688966"",""3185,044239"",""3698,5145899999998"",""3038,617595"""
"Hidroeólica,""1,109656"",""0,972545"",""1,955158"",""1,5483689999999999"",""2,031012"",""1,372141"",""3,727338"",""3,4751190000000003"",""2,218351"",""1,582837"",""2,0965219999999998"",""1,15967"",""0,82455"",""1,3385150000000001"",""1,823614"",""0,991125"",""1,442708"",""0,7426280000000001"",""3,652422"",""3,575741"",""1,9118979999999999"",""1,456723"",""0,821801"",""0,958502"""
"Eólica,""6027,203735"",""3695,709607"",""4921,192632"",""4663,698402"",""4677,077559"",""3287,492495"",""3440,87079"",""2890,7696579999997"",""3895,42914"",""3809,5985"",""7458,615235"",""5477,3981459999995"",""4626,864398"",""4271,307758000001"",""5601,202209"",""3694,767184"",""3964,682319"",""3343,977027"",""4249,55412"",""3675,5996099999998"",""4055,1663080000003"",""5772,60519"",""4210,154280000001"",""7440,365855"""
"Solar fotovoltaica,""507,327131"",""634,7991430000001"",""812,728041"",""703,515765"",""940,395949"",""934,5620620000001"",""1003,565027"",""1015,180943"",""861,514233"",""794,698796"",""525,6959969999999"",""518,035794"",""625,344395"",""973,4163159999999"",""1067,169174"",""1148,5846159999999"",""1636,7632839999999"",""1797,6972930000002"",""1903,210827"",""1817,83495"",""1460,463968"",""1314,9535919999998"",""813,7074379999999"",""742,998879"""
"Solar térmica,""166,150129"",""261,978603"",""477,846093"",""379,26881699999996"",""740,9977269999999"",""775,0576060000001"",""722,86749"",""745,4987709999999"",""454,73186499999997"",""303,08525699999996"",""69,97061199999999"",""68,97817500000001"",""85,967851"",""227,95599600000003"",""235,96742"",""206,86543700000001"",""552,4847510000001"",""711,646848"",""796,172042"",""744,541661"",""452,15923300000003"",""340,274709"",""108,048269"",""76,225913"""
"Otras renovables,""304,554098"",""285,70381699999996"",""310,42641499999996"",""275,23064899999997"",""283,124724"",""286,631074"",""326,868157"",""321,414941"",""301,967939"",""311,60132600000003"",""309,135988"",""301,056101"",""335,311749"",""347,61690600000003"",""346,296305"",""337,757793"",""387,289877"",""380,007994"",""349,559701"",""368,81825699999996"",""396,083081"",""415,369636"",""394,574464"",""422,895433"""
"Cogeneración,""2674,800502"",""2394,8497089999996"",""2594,5731800000003"",""2492,4755219999997"",""2547,230698"",""2422,763722"",""2459,280409"",""2358,0771019999997"",""2357,197593"",""2496,488406"",""2471,281284"",""2346,1209219999996"",""2440,531494"",""2235,304299"",""2236,957267"",""1928,811875"",""2087,155885"",""2189,6724249999997"",""2304,163451"",""2194,300447"",""2310,15876"",""2354,0122570000003"",""2392,802075"",""2356,443098"""
