Título,ÍNDICE DE RED ELÉCTRICA (IRE) - GENERAL - ACUMULADO MES_01-01-2019_31-12-2020,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Peninsular,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,% | Índice (2010=100),,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020
Índice general,"123,969","114,805","126,515","119,432","130,28","128,288","135,566","125,668","127,6","129,484","121,014","110,193","119,338","117,101","116,553","91,667","109,119","113,748","126,425","117,307","121,975","122,627","117,355","109,048"
Índice general corregido,"105,072","107,303","106,975","104,863","105,581","104,328","99,964","92,957","104,281","104,255","105,743","96,076","101,472","105,674","98,283","80,187","86,525","91,263","91,183","85,795","98,067","101,483","102,473","94,084"
Variación mensual,"-0,302","-1,909","-0,301","-4,227","-1,698","-2,286","0,263","-2,922","-3,385","-0,973","-1,828","-3,17","-3,736",2,"-7,874","-23,248","-16,243","-11,334","-6,743","-6,653","-4,408","-5,296","-3,024","-1,039"
Variación mensual corregida,"-0,166","-1,867","-1,208","-3,459","-3,575","-2,858","-2,359","-2,321","-1,933","-2,617","-2,286","-4,017","-3,426","-1,518","-8,125","-23,532","-18,049","-12,523","-8,784","-7,705","-5,959","-2,659","-3,092","-2,073"
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,Información adelantada de la evolución del consumo eléctrico del conjunto de empresas que tienen una potencia contratada superior a 450 kW.,,,,,,,,,,,,,,,,,,,,,,,
 ,Índice 2010=100 y % de crecimiento sobre el mismo periodo del año anterior.,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2019 - 31/12/2020,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,25/05/2023 - 18:21:58,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
